,Goal0,Goal1,Goal2,Goal3,Goal4,Goal5
0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
1,0.147041357745969,0.147041357745969,0.147041357745969,0.147041357745969,0.147041357745969,0.26479321127015504
2,0.09811917627265163,0.09811917627265163,0.09811917627265163,0.09811917627265163,0.09811917627265163,0.509404118636742
3,0.12616481377360392,0.12616481377360392,0.12616481377360392,0.12616481377360392,0.12616481377360392,0.36917593113198055
4,0.1387191964475022,0.1387191964475022,0.1387191964475022,0.1387191964475022,0.1387191964475022,0.3064040177624891
5,0.09611116905109789,0.09611116905109789,0.09611116905109789,0.09611116905109789,0.37763442011057924,0.23792090368502916
6,0.05878118080392423,0.05878118080392423,0.05878118080392423,0.05878118080392423,0.5852665376342933,0.1796087391500099
7,0.08423484904988209,0.08423484904988209,0.08423484904988209,0.08423484904988209,0.4730016684684467,0.19005893533202486
8,0.039656279032729926,0.039656279032729926,0.039656279032729926,0.039656279032729926,0.7240373189730531,0.1173375648960271
9,0.01455152014945277,0.01455152014945277,0.01455152014945277,0.01455152014945277,0.886460087400745,0.05533383200144377
10,0,0,0,0,1,0
